Gender,Hour of Start Time,Weekday of Start Time,Count of Trips
Female,"May 4, 2019 at 11 PM",Saturday,11
Male,"May 4, 2019 at 10 PM",Saturday,132
Female,"May 4, 2019 at 10 PM",Saturday,26
Male,"May 4, 2019 at 9 PM",Saturday,140
Female,"May 4, 2019 at 9 PM",Saturday,30
Male,"May 4, 2019 at 8 PM",Saturday,164
Female,"May 4, 2019 at 8 PM",Saturday,49
Male,"May 4, 2019 at 7 PM",Saturday,287
Female,"May 4, 2019 at 7 PM",Saturday,110
Male,"May 4, 2019 at 6 PM",Saturday,371
Female,"May 4, 2019 at 6 PM",Saturday,159
Male,"May 4, 2019 at 5 PM",Saturday,376
Female,"May 4, 2019 at 5 PM",Saturday,189
Male,"May 4, 2019 at 4 PM",Saturday,465
Female,"May 4, 2019 at 4 PM",Saturday,196
Male,"May 4, 2019 at 3 PM",Saturday,487
Female,"May 4, 2019 at 3 PM",Saturday,251
Male,"May 4, 2019 at 2 PM",Saturday,501
Female,"May 4, 2019 at 2 PM",Saturday,251
Male,"May 4, 2019 at 1 PM",Saturday,561
Female,"May 4, 2019 at 1 PM",Saturday,243
Male,"May 4, 2019 at 12 PM",Saturday,496
Female,"May 4, 2019 at 12 PM",Saturday,243
Male,"May 4, 2019 at 11 AM",Saturday,441
Female,"May 4, 2019 at 11 AM",Saturday,226
Male,"May 4, 2019 at 10 AM",Saturday,372
Female,"May 4, 2019 at 10 AM",Saturday,170
Male,"May 4, 2019 at 9 AM",Saturday,279
Female,"May 4, 2019 at 9 AM",Saturday,141
Male,"May 4, 2019 at 8 AM",Saturday,177
Female,"May 4, 2019 at 8 AM",Saturday,89
Male,"May 4, 2019 at 7 AM",Saturday,86
Female,"May 4, 2019 at 7 AM",Saturday,49
Male,"May 4, 2019 at 6 AM",Saturday,45
Female,"May 4, 2019 at 6 AM",Saturday,30
Male,"May 4, 2019 at 5 AM",Saturday,21
Female,"May 4, 2019 at 5 AM",Saturday,4
Male,"May 4, 2019 at 4 AM",Saturday,4
Female,"May 4, 2019 at 4 AM",Saturday,1
Male,"May 4, 2019 at 3 AM",Saturday,5
Female,"May 4, 2019 at 3 AM",Saturday,1
Male,"May 4, 2019 at 2 AM",Saturday,20
Female,"May 4, 2019 at 2 AM",Saturday,4
Male,"May 4, 2019 at 1 AM",Saturday,33
Female,"May 4, 2019 at 1 AM",Saturday,6
Male,"May 4, 2019 at 12 AM",Saturday,42
Female,"May 4, 2019 at 12 AM",Saturday,8
Male,"April 27, 2019 at 11 PM",Saturday,13
Female,"April 27, 2019 at 11 PM",Saturday,2
Male,"April 27, 2019 at 10 PM",Saturday,13
Female,"April 27, 2019 at 10 PM",Saturday,2
Male,"April 27, 2019 at 9 PM",Saturday,20
Male,"April 27, 2019 at 8 PM",Saturday,14
Male,"April 27, 2019 at 7 PM",Saturday,15
Male,"April 27, 2019 at 6 PM",Saturday,33
Female,"April 27, 2019 at 6 PM",Saturday,1
Male,"April 27, 2019 at 5 PM",Saturday,14
Female,"April 27, 2019 at 5 PM",Saturday,6
Male,"April 27, 2019 at 4 PM",Saturday,24
Female,"April 27, 2019 at 4 PM",Saturday,6
Male,"April 27, 2019 at 3 PM",Saturday,42
Female,"April 27, 2019 at 3 PM",Saturday,9
Male,"April 27, 2019 at 2 PM",Saturday,39
Female,"April 27, 2019 at 2 PM",Saturday,10
Male,"April 27, 2019 at 1 PM",Saturday,49
Female,"April 27, 2019 at 1 PM",Saturday,13
Male,"April 27, 2019 at 12 PM",Saturday,56
Female,"April 27, 2019 at 12 PM",Saturday,13
Male,"April 27, 2019 at 11 AM",Saturday,56
Female,"April 27, 2019 at 11 AM",Saturday,15
Male,"April 27, 2019 at 10 AM",Saturday,147
Female,"April 27, 2019 at 10 AM",Saturday,49
Male,"April 27, 2019 at 9 AM",Saturday,185
Female,"April 27, 2019 at 9 AM",Saturday,65
Male,"April 27, 2019 at 8 AM",Saturday,134
Female,"April 27, 2019 at 8 AM",Saturday,57
Male,"April 27, 2019 at 7 AM",Saturday,89
Female,"April 27, 2019 at 7 AM",Saturday,31
Male,"April 27, 2019 at 6 AM",Saturday,33
Female,"April 27, 2019 at 6 AM",Saturday,19
Male,"April 27, 2019 at 5 AM",Saturday,22
Female,"April 27, 2019 at 5 AM",Saturday,6
Male,"April 27, 2019 at 4 AM",Saturday,7
Female,"April 27, 2019 at 4 AM",Saturday,2
Male,"April 27, 2019 at 3 AM",Saturday,10
Male,"April 27, 2019 at 2 AM",Saturday,24
Female,"April 27, 2019 at 2 AM",Saturday,4
Male,"April 27, 2019 at 1 AM",Saturday,43
Female,"April 27, 2019 at 1 AM",Saturday,7
Male,"April 27, 2019 at 12 AM",Saturday,69
Female,"April 27, 2019 at 12 AM",Saturday,22
